"E_mag","E_phase","Im_E_z","Re_E_z","x_node","y_node","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.7895,-0.24291,-0.1899,0.76632,0,0,1,1,73.549,6.8209,0
0.851,-0.40266,-0.33348,0.78294,0,0,2,2,75.184,5.5047,0
0.46962,-0.41385,-0.18885,0.42997,0,0,3,3,75.307,8.1475,0
0.51437,-0.65217,-0.31218,0.40881,0,0,4,4,76.852,6.8516,0
0.28872,-2.1323,-0.24439,-0.15374,0,0,5,5,8.0925,6.7358,0
0.39968,-0.81016,-0.28953,0.27553,0,0,6,6,5.8725,7.2796,0
0.34641,-1.3861,-0.34052,0.063607,0,0,7,7,7.0945,5.1474,0
0.63484,-0.64419,-0.38126,0.50761,0,0,8,8,5.1498,4.8368,0
0,0,0,0,0,0,9,9,2,10,0
0.46514,-0.23173,-0.10682,0.45271,0,0,10,10,1.6708,8.3292,0
0.39668,-0.45635,-0.17481,0.35609,0,0,11,11,3.9925,8.3587,0
0,0,0,0,0,0,12,12,10,0,0
0,0,0,0,0,0,13,13,12,0,0
0.51215,-3.0909,-0.025973,-0.51149,0,0,14,14,11,2.338,0
0,0,0,0,0,0,15,15,16,0,0
0,0,0,0,0,0,16,16,18,0,0
0.44772,2.5221,0.25996,-0.36452,0,0,17,17,17,2.4,0
0,0,0,0,0,0,18,18,22,0,0
0,0,0,0,0,0,19,19,24,0,0
0.53357,0.043478,0.023191,0.53307,0,0,20,20,23,2.4,0
0,0,0,0,0,0,21,21,24,10,0
0,0,0,0,0,0,22,22,22,10,0
0.52152,0.046997,0.024501,0.52094,0,0,23,23,22.989,7.6536,0
0,0,0,0,0,0,24,24,18,10,0
0,0,0,0,0,0,25,25,16,10,0
0.44232,2.5244,0.256,-0.36071,0,0,26,26,16.989,7.6536,0
0,0,0,0,0,0,27,27,12,10,0
0,0,0,0,0,0,28,28,10,10,0
0.39743,-3.0925,-0.019512,-0.39696,0,0,29,29,11,8.2492,0
0,0,0,0,0,0,30,30,36,0,0
0,0,0,0,0,0,31,31,38,0,0
